Zone ID,Zone name,England,Scotland,Wales,Northern Ireland,United Kingdom (part not stated),Channel Islands,Isle of Man,Irish Republic,Ireland (part not stated),Australia,Canada,New Zealand,Kenya,Malawi,Tanzania,Uganda,Zambia,Zimbabwe,"Botswana, Lesotho and Swaziland",Gambia,Ghana,Nigeria,Sierra Leone,Barbados,Jamaica,Trinidad and Tobago,Other Independent States,Caribbean Dependent Territories,West Indies (so stated),Belize,Guyana,Bangladesh,India,Pakistan,Sri Lanka,Hong Kong,Malaysia,Singapore,Cyprus,Gibraltar,Malta and Gozo,Mauritius,Seychelles,Other New Commonwealth,Belgium,Denmark,France,Germany,Greece,Italy,Luxembourg,Netherlands,Portugal,Spain,Albania,Austria,Bulgaria,Czechoslovakia,Finland,Hungary,Norway,Poland,Romania,Sweden,Switzerland,Yugoslavia,Other Europe,Turkey,U.S.S.R,Algeria,Eygpt,Libya,Morocco,Tunisia,"South Afria, Republic of",Other Africa,United States of America,Caribbean,Central America,South America,Iran,Israel,Other Middle East,"Burma (Myanmar, Union of)","China, Peoples Republic of",Japan,Philippines,Vietnam,Other Asia,Rest of World and at sea/in the air
10DKFN,Flitwick West,5680,79,73,20,0,2,0,54,0,10,8,5,10,2,1,2,8,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,13,0,1,3,1,2,4,3,2,0,0,1,2,0,5,20,1,5,2,0,0,4,0,3,1,0,0,0,0,1,0,0,0,2,0,0,2,0,1,0,0,0,11,0,24,0,2,2,0,0,10,0,2,0,5,2,2,0
10DKFP,Harlington,2134,37,33,11,0,0,0,21,0,4,2,0,2,0,1,5,1,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,3,0,1,2,3,2,2,3,1,0,0,0,3,0,1,5,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,1,0,0,0,0,0,4,0,2,0,0,0,0,0,1,3,0,0,0,0,0,0
10DKFQ,Haynes And Houghton Conquest,2228,37,37,16,0,1,0,21,0,4,7,1,3,3,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,2,1,2,0,2,1,0,0,5,0,0,1,0,0,7,0,5,0,0,0,0,0,0,0,0,0,2,0,4,0,0,1,1,0,0,2,0,0,0,0,0,3,1,21,0,0,0,0,0,2,1,0,0,4,2,0,0
10DKFR,Langford,2574,29,35,10,0,0,2,18,0,3,6,2,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,4,6,4,1,3,3,5,1,0,3,2,0,0,0,0,1,12,0,5,0,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,9,0,0,0,2,1,1,0,0,2,0,0,1,0
10DKFS,Marston,3890,57,52,17,0,3,2,52,0,2,0,1,7,0,0,1,0,0,0,0,0,5,0,2,2,2,0,0,0,0,0,0,12,2,1,2,2,5,3,1,3,0,0,0,0,0,2,17,0,50,0,0,0,2,0,0,0,0,0,0,0,10,0,1,0,8,0,2,2,0,0,0,0,0,5,0,1,0,0,2,0,0,0,1,0,0,0,0,3,0
10DKFT,Maulden,2507,30,27,12,0,3,0,16,0,2,0,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,2,0,0,0,0,0,0,0,1,7,0,3,0,5,0,0,0,2,0,0,1,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,5,0,13,0,0,1,0,1,0,1,1,0,2,0,0,0
10DKFU,Northill,2009,40,23,14,0,0,0,12,0,3,2,1,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,1,0,0,2,0,2,0,0,0,0,0,5,0,1,12,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,2,2,4,1,0,0,0,0,0,0
10DKFW,Old Warden And Southill,1224,16,14,4,0,0,0,7,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,3,0,0,0,0,1,0,2,5,0,0,1,4,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,2,0,0,0,1,0,0,0,0,1,0
10DKFX,Potton,4401,84,65,10,0,1,0,13,0,3,6,5,9,0,1,4,6,2,0,0,0,4,0,0,0,0,0,0,0,0,0,4,12,0,3,3,2,3,1,1,4,0,0,0,2,0,1,14,1,5,2,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,0,0,0,10,1,13,0,0,0,0,1,0,1,2,0,1,0,0,1
10DKFY,Sandy All Saints,3604,51,44,20,0,0,1,21,0,0,3,3,17,0,3,5,2,3,0,0,0,0,0,0,0,0,2,0,0,0,1,0,15,1,0,2,0,4,4,0,6,0,0,0,1,1,2,27,1,4,0,3,0,0,0,0,0,1,0,1,0,2,0,0,3,0,0,0,1,0,2,0,0,0,5,0,26,0,0,0,2,0,0,2,0,0,0,0,0,1
10DKFZ,Sandy St.Swithuns,4713,85,66,16,0,2,2,45,0,2,4,2,4,0,10,4,0,2,0,0,0,0,0,0,3,0,3,0,0,0,2,3,13,5,0,8,0,3,2,0,2,2,1,2,0,0,0,13,1,10,0,2,0,2,0,1,0,0,0,2,0,5,0,0,0,0,0,0,1,0,0,0,0,0,5,0,17,0,0,0,0,0,4,4,3,0,0,15,0,0
10DKGA,Shefford,2964,74,51,9,0,0,2,35,0,4,1,0,2,0,1,2,1,3,0,0,0,2,0,0,5,1,2,0,0,0,0,0,9,0,0,6,0,3,11,3,4,2,0,3,1,0,2,10,0,3,1,1,0,0,0,0,0,0,0,2,0,3,0,2,0,1,0,0,1,0,0,0,0,0,3,0,77,0,2,1,0,1,1,0,0,1,8,0,2,0
10DKGB,Shillington and Stondon,3067,84,38,13,0,2,0,19,0,1,3,4,6,0,3,0,1,4,0,0,0,0,0,0,4,1,2,0,0,0,0,0,16,0,1,0,3,2,2,3,4,0,0,1,0,0,1,17,0,13,0,0,0,0,0,1,0,2,0,1,0,3,0,1,0,0,0,1,0,0,0,0,2,0,6,1,16,0,0,1,2,0,2,2,1,0,0,0,0,0
10DKGC,Stotfold,5921,141,91,36,0,1,2,73,0,2,5,0,6,0,1,2,2,3,0,0,0,0,0,4,9,3,2,1,0,0,0,2,21,10,7,11,10,2,1,3,5,4,0,0,2,1,5,15,0,16,0,7,0,6,0,2,0,0,1,1,0,19,3,2,1,4,0,1,12,0,0,0,0,0,4,0,51,1,0,1,2,0,3,5,3,0,1,0,1,0
10DKGD,Wensley,1641,19,14,8,0,0,0,7,0,0,7,0,0,0,0,1,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,0,0,2,2,2,1,5,0,0,0,0,0,2,0,1,0,0,1,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,2,0,3,0,1,0,0,0,4,0,0,0,0,0,0,0
10DKGE,Westoning,1672,33,20,11,0,0,0,13,0,2,1,2,3,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,5,1,0,0,1,0,0,0,0,0,0,0,0,7,0,5,0,1,0,0,0,1,0,1,0,0,1,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,2,0,22,0,0,0,0,0,4,1,1,0,0,0,1,0
10DKGF,Woburn,1395,24,21,7,0,0,0,9,0,5,2,0,3,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,4,1,0,1,1,1,3,0,0,1,0,1,4,0,0,2,14,0,9,0,2,0,0,0,2,0,0,0,2,1,3,0,0,0,1,0,0,4,0,0,0,0,0,2,0,8,0,0,2,1,0,1,4,0,0,0,0,0,2
10DKGG,Wrest,1803,41,29,7,0,0,0,15,0,2,6,4,8,1,3,7,4,4,6,0,1,7,1,0,2,0,0,0,0,0,1,0,3,1,3,0,0,1,0,1,0,0,0,1,0,0,4,15,3,6,0,4,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,4,0,0,1,0,0,0,5,12,15,0,2,12,0,0,4,0,12,0,1,1,1,0
10DKSS,Shipping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10DLFA,Brickhill,6726,214,123,49,0,6,1,92,0,8,10,4,34,0,7,7,2,7,0,0,2,12,0,3,29,7,4,1,2,1,1,1,81,19,15,14,6,8,5,3,2,6,4,0,2,0,7,38,9,78,0,2,0,3,0,3,0,1,5,1,1,19,0,0,6,15,0,0,12,0,6,2,0,0,16,2,24,2,2,14,9,1,11,0,6,8,4,1,4,0
10DLFB,Bromham,4617,107,73,29,0,5,0,50,0,21,20,7,14,0,0,0,0,3,0,0,0,5,0,0,2,1,2,0,2,0,2,0,24,3,9,6,10,2,4,3,7,3,0,0,1,0,1,18,0,20,0,2,0,3,0,1,1,2,1,0,0,9,0,4,0,1,0,0,5,0,3,2,1,0,9,3,13,0,1,5,2,2,3,0,0,1,1,0,4,2
10DLFC,Carlton,1974,42,26,7,0,0,1,16,0,13,5,3,1,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,6,2,0,0,1,4,0,3,0,1,0,3,0,6,0,11,0,0,0,5,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,1,0,1,2,0,0,0,0,0
10DLFD,Castle,4571,130,100,49,0,4,1,99,0,18,18,10,14,0,6,5,4,11,0,0,3,6,0,9,30,3,13,2,2,0,0,23,59,26,2,4,5,9,11,1,5,0,0,0,3,3,15,25,7,172,0,7,5,8,0,4,0,0,0,3,1,32,1,2,2,20,0,0,25,1,1,2,0,0,9,1,24,0,1,10,1,3,9,0,3,3,0,0,3,0
10DLFE,Cauldwell,5950,115,82,45,0,0,1,163,0,8,6,0,60,0,0,9,2,0,0,0,3,8,0,13,62,6,47,3,9,0,3,82,690,52,6,4,29,20,9,2,7,1,0,3,3,12,5,28,6,482,0,3,0,5,0,6,0,0,0,3,0,44,2,2,2,67,0,1,22,0,0,1,2,0,3,3,34,5,1,3,0,1,9,0,3,0,1,5,1,4
